"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","total_input_tokens","total_output_tokens","total_cache_creation_tokens","total_cache_read_tokens"
"2026-02-06","arilivigni","copilot","copilot_premium_request","Claude Opus 4.6","51","requests","0.04","2.040000000000001","2.040000000000001","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","1004","4625","467968","308138"
"2026-02-06","gmondello","copilot","copilot_premium_request","Claude Opus 4.6","3","requests","0.04","0.12","0.12","0","False","1000","emea-avo-waffle","greg-test","636","1060","0","7102"
"2026-02-06","arilivigni","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","0","1026","0","0"
"2026-02-06","glorialangreo","copilot","copilot_premium_request","Claude Sonnet 4.5","68","requests","0.04","2.7200000000000015","2.7200000000000015","0","False","1000","github","","3316159","46808","0","280977"
"2026-02-06","LindseyB","copilot","copilot_premium_request","GPT-5.2","1","requests","0.04","0.04","0.04","0","False","1000","evil-copilot-avocado","","6862","867","0","6784"
"2026-02-06","kathleenqin","copilot","copilot_premium_request","GPT-5.2","3","requests","0.04","0.12","0.12","0","False","1000","github","[org team] cost-center-automation/the-a-team","1962","862","0","28800"
"2026-02-06","optimisticjc","copilot","copilot_premium_request","GPT-5.2","4","requests","0.04","0.16","0.16","0","False","1000","optimisticjc-ceviche","","7601","1409","0","51968"
"2026-02-06","optimisticjc","copilot","copilot_premium_request","Gemini 2.5 Pro","8","requests","0.04","0.32","0.32","0","False","1000","optimisticjc-ceviche","","24146","2495","0","38300"
"2026-02-07","arilivigni","copilot","copilot_premium_request","Claude Opus 4.6","18","requests","0.04","0.72","0.72","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","97","2001","171438","0"
"2026-02-07","megamanics","copilot","copilot_premium_request","Claude Opus 4.6","102","requests","0.04","4.080000000000002","4.080000000000002","0","False","1000","SKi-demo","","0","4909","0","0"
"2026-02-08","arilivigni","copilot","copilot_premium_request","Claude Opus 4.6","9","requests","0.04","0.36","0.36","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","635","1178","123518","0"
"2026-02-08","megamanics","copilot","copilot_premium_request","Claude Opus 4.6","198","requests","0.04","7.920000000000005","7.920000000000005","0","False","1000","SKi-demo","","0","15581","0","0"
"2026-02-08","megamanics","copilot","copilot_premium_request","Claude Sonnet 4.5","10","requests","0.04","0.39999999999999997","0.39999999999999997","0","False","1000","SKi-demo","","113237","2746","0","169075"
"2026-02-08","megamanics","copilot","copilot_premium_request","GPT-5.2-Codex","1","requests","0.04","0.04","0.04","0","False","1000","SKi-demo","","21735","270","0","0"
"2026-02-09","gmondello","copilot","copilot_premium_request","Claude Opus 4.6","33","requests","0.04","1.3200000000000003","1.3200000000000003","0","False","1000","emea-avo-waffle","greg-test","29410","5948","8090","106976"
"2026-02-09","megamanics","copilot","copilot_premium_request","Claude Opus 4.6","78","requests","0.04","3.120000000000001","3.120000000000001","0","False","1000","SKi-demo","","0","2409","0","0"
"2026-02-09","kathleenqin","copilot","copilot_premium_request","Claude Opus 4.6","12","requests","0.04","0.48","0.48","0","False","1000","github","[org team] cost-center-automation/the-a-team","2006","2428","95942","208195"
"2026-02-09","adl-bot","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","12341","305","0","0"
"2026-02-09","kathleenqin","copilot","copilot_premium_request","GPT-5.2","1","requests","0.04","0.04","0.04","0","False","1000","github","[org team] cost-center-automation/the-a-team","128","287","0","6784"
"2026-02-09","megamanics","copilot","copilot_premium_request","GPT-5.2","1","requests","0.04","0.04","0.04","0","False","1000","SKi-demo","","276","537","0","6784"
"2026-02-09","LindseyB","copilot","copilot_premium_request","GPT-5.2","1","requests","0.04","0.04","0.04","0","False","1000","evil-copilot-avocado","","173","158","0","6784"
"2026-02-09","megamanics","copilot","copilot_premium_request","Gemini 3 Pro","11","requests","0.04","0.43999999999999995","0.43999999999999995","0","False","1000","SKi-demo","","81427","1675","0","584021"
"2026-02-10","megamanics","copilot","copilot_premium_request","Auto: Claude Sonnet 4.5","14.400000000000004","requests","0.04","0.576","0.576","0","False","1000","SKi-demo","","0","5529","0","0"
"2026-02-10","megamanics","copilot","copilot_premium_request","Auto: GPT-5.2-Codex","30.59999999999998","requests","0.04","1.2240000000000004","1.2240000000000004","0","False","1000","SKi-demo","","541083","7828","0","1016448"
"2026-02-10","kathleenqin","copilot","copilot_premium_request","Claude Opus 4.5","3","requests","0.04","0.12","0.12","0","False","1000","github","[org team] cost-center-automation/the-a-team","131","253","39588","0"
"2026-02-10","kathleenqin","copilot","copilot_premium_request","Claude Opus 4.6","3","requests","0.04","0.12","0.12","0","False","1000","github","[org team] cost-center-automation/the-a-team","3686","3565","93423","0"
